Updated 04/26/25 at 07:05pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Ja'Marr Chase,WR1,WR,CIN,9999,25.2,No,WR1,9999,,0
Justin Jefferson,WR2,WR,MIN,9990,25.9,No,WR2,9659,,0
Malik Nabers,WR3,WR,NYG,9453,21.7,No,WR3,8610,,0
Bijan Robinson,RB1,RB,ATL,9151,23.2,No,RB2,8137,,0
Jahmyr Gibbs,RB2,RB,DET,9142,23.1,No,RB1,8166,,0
Brock Bowers,TE1,TE,LVR,8795,22.4,No,TE1,8239,,0
Ashton Jeanty,RB3,RB,LVR,8368,-1.0,Yes,RB3,7527,,0
CeeDee Lamb,WR4,WR,DAL,8285,26.0,No,WR4,7796,,0
Brian Thomas Jr.,WR5,WR,JAC,8231,22.6,No,WR6,7540,,0
Amon-Ra St. Brown,WR6,WR,DET,8131,25.5,No,WR5,7578,,0
Puka Nacua,WR7,WR,LAR,8028,23.9,No,WR7,7374,,0
Josh Allen,QB1,QB,BUF,7887,28.9,No,QB1,9998.99,,0
Jayden Daniels,QB2,QB,WAS,7640,24.4,No,QB2,9991,,0
Saquon Barkley,RB4,RB,PHI,7363,28.2,No,RB4,6542,,0
Drake London,WR8,WR,ATL,7353,23.8,No,WR8,6580,,0
Nico Collins,WR9,WR,HOU,7350,26.1,No,WR9,6570,,0
Lamar Jackson,QB3,QB,BAL,7316,28.3,No,QB3,9672,,0
Trey McBride,TE2,TE,ARI,7303,25.4,No,TE2,6572,,0
Ladd McConkey,WR10,WR,LAC,7128,23.5,No,WR12,6366,,0
Jaxon Smith-Njigba,WR11,WR,SEA,7123,23.2,No,WR11,6480,,0
Marvin Harrison Jr.,WR12,WR,ARI,7107,22.7,No,WR10,6513,,0
2025 Early 1st,,PI,,7066,,,,6374,,0
Garrett Wilson,WR13,WR,NYJ,6840,24.8,No,WR13,6173,,0
De'Von Achane,RB5,RB,MIA,6827,23.5,No,RB5,6039,,0
Omarion Hampton,RB6,RB,LAC,6724,-1.0,Yes,RB6,5904,,0
A.J. Brown,WR14,WR,PHI,6656,27.8,No,WR14,6066,,0
Joe Burrow,QB4,QB,CIN,6539,28.4,No,QB4,8343,,0
Bucky Irving,RB7,RB,TBB,6538,22.7,No,RB8,5581,,0
