"Last updated: September 06, 2026 08:12 PM UTC"
Updated 09/06/26 at 08:12pm,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Jahmyr Gibbs,RB1,RB,DET,9999,24.5,No,RB2,9998,,0
Bijan Robinson,RB2,RB,ATL,9996,24.6,No,RB1,9999,,0
Ja'Marr Chase,WR1,WR,CIN,9979,26.5,No,WR1,9938,,0
Jaxon Smith-Njigba,WR2,WR,SEA,9155,24.6,No,WR2,9127,,0
Puka Nacua,WR3,WR,LAR,8447,25.3,No,WR3,8434,,0
Brock Bowers,TE1,TE,LVR,8339,23.7,No,TE1,8239,,0
Amon-Ra St. Brown,WR4,WR,DET,8299,26.9,No,WR4,8219,,0
2026 Pick 1.01,,PI,,7903,,,,7182,,0
Josh Allen,QB1,QB,BUF,7540,30.3,No,QB1,9988,,0
Jeremiyah Love,RB3,RB,ARI,7507,21.3,Yes,RB3,7240,,0
Malik Nabers,WR5,WR,NYG,7482,23.1,No,WR6,7298,,0
Justin Jefferson,WR6,WR,MIN,7473,27.2,No,WR5,7404,,0
Ashton Jeanty,RB4,RB,LVR,7440,22.8,No,RB4,7211,,0
Omarion Hampton,RB5,RB,LAC,7399,23.5,No,RB5,7030,,0
Trey McBride,TE2,TE,ARI,7385,26.8,No,TE2,7228,,0
CeeDee Lamb,WR7,WR,DAL,7382,27.4,No,WR7,7197,,0
2027 Early 1st,,PI,,7255,,,,6997,,0
De'Von Achane,RB6,RB,MIA,7254,24.9,No,RB6,6939,,0
James Cook,RB7,RB,BUF,7163,27.0,No,RB7,6703,,0
Drake London,WR8,WR,ATL,7053,25.1,No,WR8,6720,,0
Jonathan Taylor,RB8,RB,IND,6983,27.6,No,RB8,6417,,0
George Pickens,WR9,WR,DAL,6669,25.5,No,WR9,6251,,0
Colston Loveland,TE3,TE,CHI,6615,22.4,No,TE3,6316,,0
2026 Pick 1.02,,PI,,6527,,,,5890,,0
Tetairoa McMillan,WR10,WR,CAR,6489,23.4,No,WR10,6210,,0
Emeka Egbuka,WR11,WR,TBB,6435,23.9,No,WR11,6130,,0
Chase Brown,RB9,RB,CIN,6408,26.5,No,RB10,5791,,0
Kenneth Walker III,RB10,RB,KCC,6393,25.9,No,RB9,5812,,0
Drake Maye,QB2,QB,NEP,6334,24.0,No,QB2,8760,,0
Nico Collins,WR12,WR,HOU,6280,27.5,No,WR13,5770,,0
Chris Olave,WR13,WR,NOS,6275,26.2,No,WR14,5769,,0
Tyler Warren,TE4,TE,IND,6269,24.3,No,TE4,5856,,0
Ladd McConkey,WR14,WR,LAC,6244,24.8,No,WR12,5781,,0
Luther Burden,WR15,WR,CHI,6200,22.7,No,WR17,5580,,0
Garrett Wilson,WR16,WR,NYJ,6177,26.1,No,WR15,5634,,0
DeVonta Smith,WR17,WR,PHI,6132,27.8,No,WR16,5592,,0
Lamar Jackson,QB3,QB,BAL,6127,29.7,No,QB4,7442,,0
2026 Early 1st,,PI,,6109,,,,5506,,0
2027 Mid 1st,,PI,,6102,,,,5568,,0
Christian McCaffrey,RB11,RB,SFO,6085,30.2,No,RB11,5449,,0
Breece Hall,RB12,RB,NYJ,6081,25.3,No,RB12,5417,,0
2026 Pick 1.03,,PI,,6007,,,,5389,,0
Carnell Tate,WR18,WR,TEN,6005,21.6,Yes,WR18,5492,,0
Saquon Barkley,RB13,RB,PHI,5993,29.6,No,RB13,5364,,0
A.J. Brown,WR19,WR,NEP,5979,29.2,No,WR19,5355,,0
Zay Flowers,WR20,WR,BAL,5963,26.0,No,WR20,5326,,0
Caleb Williams,QB4,QB,CHI,5939,24.8,No,QB3,7782,,0
Jadarian Price,RB14,RB,SEA,5899,22.9,Yes,RB15,5193,,0
Jaylen Waddle,WR21,WR,DEN,5862,27.8,No,WR22,5159,,0
Joe Burrow,QB5,QB,CIN,5846,29.7,No,QB5,7296,,0
Jayden Daniels,QB6,QB,WAS,5844,25.7,No,QB6,7164,,0
Quinshon Judkins,RB15,RB,CLE,5843.99,22.8,No,RB14,5194,,0
Tee Higgins,WR22,WR,CIN,5838,27.6,No,WR23,5158,,0
Rome Odunze,WR23,WR,CHI,5837,24.3,No,WR21,5219,,0
2028 Early 1st,,PI,,5801,,,,5163,,0
2026 Pick 1.04,,PI,,5800,,,,5196,,0
Kyren Williams,RB16,RB,LAR,5735,26.0,No,RB17,4888,,0
Javonte Williams,RB17,RB,DAL,5615,26.4,No,RB16,4899,,0
Rashee Rice,WR24,WR,KCC,5601,26.4,No,WR25,4896,,0
2026 Pick 1.05,,PI,,5586,,,,4998,,0
2027 Late 1st,,PI,,5553,,,,4945,,0
Jameson Williams,WR25,WR,DET,5518,25.4,No,WR24,4902,,0
TreVeyon Henderson,RB18,RB,NEP,5516,23.9,No,RB18,4873,,0
Tucker Kraft,TE5,TE,GBP,5487,25.8,No,TE5,4908,,0
Jordyn Tyson,WR26,WR,NOS,5477,22.1,Yes,WR26,4805,,0
Justin Herbert,QB7,QB,LAC,5433,28.5,No,QB7,6900,,0
Marvin Harrison Jr.,WR27,WR,ARI,5392,24.1,No,WR27,4744,,0
Parker Washington,WR28,WR,JAC,5385,24.5,No,WR28,4683,,0
2026 Pick 1.06,,PI,,5373,,,,4797,,0
Jalen Hurts,QB8,QB,PHI,5318,28.1,No,QB10,6021,,0
Cam Skattebo,RB19,RB,NYG,5305,24.6,No,RB20,4530,,0
Makai Lemon,WR29,WR,PHI,5304,22.3,Yes,WR30,4645,,0
Harold Fannin,TE6,TE,CLE,5277,22.1,No,TE6,4674,,0
KC Concepcion,WR30,WR,CLE,5276.99,22.0,Yes,WR29,4647,,0
Bucky Irving,RB20,RB,TBB,5276.98,24.0,No,RB19,4625,,0
2026 Mid 1st,,PI,,5270,,,,4690,,0
Bhayshul Tuten,RB21,RB,JAC,5257,23.6,No,RB21,4489,,0
Travis Etienne,RB22,RB,NOS,5250,27.6,No,RB22,4486,,0
2026 Pick 1.07,,PI,,5210,,,,4620,,0
Jaxson Dart,QB9,QB,NYG,5142,23.3,No,QB12,5817,,0
2028 Mid 1st,,PI,,5136,,,,4639,,0
Derrick Henry,RB23,RB,BAL,5131,32.7,No,RB23,4396,,0
Brian Thomas Jr.,WR31,WR,JAC,5113,23.9,No,WR31,4432,,0
2026 Pick 1.08,,PI,,5088,,,,4467,,0
Trevor Lawrence,QB10,QB,JAC,5037,26.9,No,QB8,6375,,0
D'Andre Swift,RB24,RB,CHI,5030,27.6,No,RB24,4101,,0
Patrick Mahomes,QB11,QB,KCC,5020,31.0,No,QB11,5918,,0
Bo Nix,QB12,QB,DEN,4970,26.5,No,QB9,6023,,0
Kyle Pitts,TE7,TE,ATL,4968,25.9,No,TE8,4298,,0
2026 Pick 1.09,,PI,,4964,,,,4327,,0
Sam LaPorta,TE8,TE,DET,4940,25.6,No,TE7,4441,,0
Christian Watson,WR32,WR,GBP,4897,27.3,No,WR32,4094,,0
2026 Pick 1.10,,PI,,4839,,,,4166,,0
2026 Late 1st,,PI,,4785,,,,4115,,0
De'Zhaun Stribling,WR33,WR,SFO,4760,23.7,Yes,WR33,4015,,0
D.J. Moore,WR34,WR,BUF,4750,29.4,No,WR34,3981,,0
2026 Pick 1.11,,PI,,4730,,,,4025,,0
2028 Late 1st,,PI,,4716,,,,4131,,0
Michael Wilson,WR35,WR,ARI,4657,26.5,No,WR35,3844,,0
Jonathon Brooks,RB25,RB,CAR,4654,23.1,No,RB25,3677,,0
Brock Purdy,QB13,QB,SFO,4631,26.7,No,QB13,5567,,0
Matthew Golden,WR36,WR,GBP,4607,23.1,No,WR38,3673,,0
2026 Pick 1.12,,PI,,4600,,,,3873,,0
Denzel Boston,WR37,WR,CLE,4578,22.8,Yes,WR39,3622,,0
2027 Early 2nd,,PI,,4567,,,,3791,,0
Dak Prescott,QB14,QB,DAL,4566,33.1,No,QB16,5087,,0
Jordan Addison,WR38,WR,MIN,4553,24.6,No,WR36,3698,,0
Alec Pierce,WR39,WR,IND,4550,26.4,No,WR37,3696,,0
Fernando Mendoza,QB15,QB,LVR,4499,22.9,Yes,QB15,5188,,0
David Montgomery,RB26,RB,HOU,4493,29.2,No,RB27,3528,,0
Blake Corum,RB27,RB,LAR,4474,25.8,No,RB26,3562,,0
Quentin Johnston,WR40,WR,LAC,4468,25.0,No,WR40,3600,,0
Jordan Love,QB16,QB,GBP,4430,27.8,No,QB14,5385,,0
Kenyon Sadiq,TE9,TE,NYJ,4414,21.5,Yes,TE9,3597,,0
Davante Adams,WR41,WR,LAR,4410,33.7,No,WR41,3498,,0
Josh Downs,WR42,WR,IND,4391,25.1,No,WR42,3466,,0
Terry McLaurin,WR43,WR,WAS,4256,31.0,No,WR43,3369,,0
Wan'Dale Robinson,WR44,WR,TEN,4204,25.7,No,WR46,3327,,0
Jaylen Warren,RB28,RB,PIT,4203,27.8,No,RB29,3363,,0
2027 Mid 2nd,,PI,,4201,,,,3393,,0
Rhamondre Stevenson,RB29,RB,NEP,4192,28.5,No,RB28,3370,,0
Jayden Reed,WR45,WR,GBP,4191.99,26.4,No,WR44,3338,,0
Isaiah Likely,TE10,TE,NYG,4182,26.4,No,TE10,3419,,0
Kyle Monangai,RB30,RB,CHI,4175,24.2,No,RB30,3322,,0
Jonah Coleman,RB31,RB,DEN,4170,23.0,Yes,RB33,3279,,0
DK Metcalf,WR46,WR,PIT,4157,28.7,No,WR45,3326.99,,0
2026 Pick 2.01,,PI,,4153,,,,3442,,0
Tyler Shough,QB17,QB,NOS,4135,26.9,No,QB17,4801,,0
Omar Cooper Jr.,WR47,WR,NYJ,4111,22.7,Yes,WR47,3290,,0
RJ Harvey,RB32,RB,DEN,4095,25.6,No,RB32,3284,,0
2026 Pick 2.02,,PI,,4085,,,,3392,,0
Jalen Coker,WR48,WR,CAR,4072,24.8,No,WR50,3274,,0
Michael Pittman,WR49,WR,PIT,4070,28.9,No,WR49,3273.99,,0
2026 Early 2nd,,PI,,4049,,,,3367,,0
George Kittle,TE11,TE,SFO,4040,32.9,No,TE11,3260,,0
MarShawn Lloyd,RB33,RB,GBP,4036,25.7,No,RB31,3321,,0
Cam Ward,QB18,QB,TEN,4035,24.3,No,QB20,4484,,0
Dalton Kincaid,TE12,TE,BUF,4024,26.9,No,TE12,3253,,0
Baker Mayfield,QB19,QB,TBB,4021,31.4,No,QB19,4558,,0
2026 Pick 2.03,,PI,,4017,,,,3342,,0
Ja'Kobi Lane,WR50,WR,BAL,3994,22.1,Yes,WR48,3283.99,,0
Jared Goff,QB20,QB,DET,3988,31.9,No,QB18,4635,,0
Zach Charbonnet,RB34,RB,SEA,3962,25.7,No,RB34,3215,,0
2026 Pick 2.04,,PI,,3952,,,,3282,,0
Mike Washington Jr.,RB35,RB,LVR,3949,23.2,Yes,RB35,3203,,0
Chris Bell,WR51,WR,MIA,3932,22.2,Yes,WR53,3122,,0
2028 Early 2nd,,PI,,3923,,,,3208,,0
Jacory Croskey-Merritt,RB36,RB,WAS,3903,25.4,No,RB36,3170,,0
Rico Dowdle,RB37,RB,PIT,3891,28.2,No,RB37,3168,,0
2026 Pick 2.05,,PI,,3887,,,,3235,,0
Romeo Doubs,WR52,WR,NEP,3876,26.4,No,WR51,3209,,0
2027 Late 2nd,,PI,,3843,,,,3208.99,,0
2026 Pick 2.06,,PI,,3822,,,,3181,,0
C.J. Stroud,QB21,QB,HOU,3819,24.9,No,QB21,4422,,0
Mike Evans,WR53,WR,SFO,3818.99,33.0,No,WR52,3138,,0
Matthew Stafford,QB22,QB,LAR,3810,38.6,No,QB24,3779,,0
Xavier Worthy,WR54,WR,KCC,3807,23.4,No,WR57,3013,,0
Jayden Higgins,WR55,WR,HOU,3801,23.7,No,WR54,3065,,0
Chris Godwin,WR56,WR,TBB,3797,30.5,No,WR56,3032,,0
Jordan Mason,RB38,RB,MIN,3789,27.3,No,RB38,3060,,0
Courtland Sutton,WR57,WR,DEN,3788.99,30.9,No,WR55,3033,,0
2026 Mid 2nd,,PI,,3782,,,,3160,,0
2026 Pick 2.07,,PI,,3767,,,,3118,,0
Sam Darnold,QB23,QB,SEA,3746,29.2,No,QB22,4267,,0
2028 Mid 2nd,,PI,,3730,,,,3034,,0
Jake Ferguson,TE13,TE,DAL,3729.99,27.6,No,TE14,3008,,0
Kyler Murray,QB24,QB,MIN,3728,29.1,No,QB23,3852,,0
Chuba Hubbard,RB39,RB,CAR,3724,27.2,No,RB40,2986,,0
2026 Pick 2.08,,PI,,3723,,,,3064.99,,0
Terrance Ferguson,TE14,TE,LAR,3718,23.5,No,TE13,3064,,0
