"Last updated: September 08, 2026 10:55 AM UTC"
Updated 09/08/26 at 10:55am,Position Rank,Position,Team,Value,Age,Rookie,SFPosition Rank,SFValue,RdrftPosition Rank,RdrftValue
Jahmyr Gibbs,RB1,RB,DET,9998,24.5,No,RB1,9994,,0
Bijan Robinson,RB2,RB,ATL,9995,24.6,No,RB2,9989,,0
Ja'Marr Chase,WR1,WR,CIN,9965,26.5,No,WR1,9920,,0
Brock Bowers,TE1,TE,LVR,9192.53,23.7,No,TE1,9128.73,,0
Jaxon Smith-Njigba,WR2,WR,SEA,9140,24.6,No,WR2,9089,,0
Puka Nacua,WR3,WR,LAR,8438,25.3,No,WR3,8421,,0
Amon-Ra St. Brown,WR4,WR,DET,8277,26.9,No,WR4,8197,,0
Trey McBride,TE2,TE,ARI,8189.65,26.8,No,TE2,7994.95,,0
2026 Pick 1.01,,PI,,7903,,,,7183,,0
Jeremiyah Love,RB3,RB,ARI,7504,21.3,Yes,RB4,7177,,0
Malik Nabers,WR5,WR,NYG,7496,23.1,No,WR6,7298,,0
Justin Jefferson,WR6,WR,MIN,7487,27.2,No,WR5,7420,,0
Josh Allen,QB1,QB,BUF,7479,30.3,No,QB1,9985,,0
Ashton Jeanty,RB4,RB,LVR,7427,22.8,No,RB3,7228,,0
Omarion Hampton,RB5,RB,LAC,7397,23.5,No,RB5,7006,,0
CeeDee Lamb,WR7,WR,DAL,7353,27.4,No,WR7,7221,,0
Colston Loveland,TE3,TE,CHI,7352.35,22.4,No,TE3,7014.65,,0
De'Von Achane,RB6,RB,MIA,7284,24.9,No,RB6,6979,,0
2027 Early 1st,,PI,,7245,,,,6997,,0
James Cook,RB7,RB,BUF,7193,27.0,No,RB7,6712,,0
Drake London,WR8,WR,ATL,7024,25.1,No,WR8,6673,,0
Tyler Warren,TE4,TE,IND,6954.48,24.3,No,TE4,6474.88,,0
Jonathan Taylor,RB8,RB,IND,6932,27.6,No,RB8,6414,,0
George Pickens,WR9,WR,DAL,6665,25.5,No,WR9,6254,,0
2026 Pick 1.02,,PI,,6527,,,,5891,,0
Tetairoa McMillan,WR10,WR,CAR,6480,23.4,No,WR10,6230,,0
Chase Brown,RB9,RB,CIN,6404,26.5,No,RB10,5797,,0
Kenneth Walker III,RB10,RB,KCC,6396,25.9,No,RB9,5850,,0
Emeka Egbuka,WR11,WR,TBB,6356,23.9,No,WR11,6060,,0
Drake Maye,QB2,QB,NEP,6341,24.0,No,QB2,8727,,0
Nico Collins,WR12,WR,HOU,6292,27.5,No,WR14,5789,,0
Chris Olave,WR13,WR,NOS,6271,26.2,No,WR12,5809,,0
Ladd McConkey,WR14,WR,LAC,6245,24.8,No,WR13,5798,,0
Garrett Wilson,WR15,WR,NYJ,6230,26.1,No,WR15,5665,,0
Luther Burden,WR16,WR,CHI,6158,22.7,No,WR17,5569,,0
Lamar Jackson,QB3,QB,BAL,6142,29.7,No,QB4,7448,,0
DeVonta Smith,WR17,WR,PHI,6133,27.8,No,WR16,5596,,0
Tucker Kraft,TE5,TE,GBP,6119.89,25.8,No,TE5,5467.59,,0
2026 Early 1st,,PI,,6100,,,,5469,,0
2027 Mid 1st,,PI,,6097,,,,5650,,0
Breece Hall,RB11,RB,NYJ,6069,25.3,No,RB11,5434,,0
Christian McCaffrey,RB12,RB,SFO,6052,30.2,No,RB12,5416,,0
A.J. Brown,WR18,WR,NEP,6048,29.2,No,WR19,5376,,0
Carnell Tate,WR19,WR,TEN,6035,21.6,Yes,WR18,5472,,0
2026 Pick 1.03,,PI,,6008,,,,5390,,0
Saquon Barkley,RB13,RB,PHI,6002,29.6,No,RB13,5369,,0
Zay Flowers,WR20,WR,BAL,5994,26.0,No,WR20,5322,,0
Jadarian Price,RB14,RB,SEA,5945,22.9,Yes,RB14,5206,,0
Caleb Williams,QB4,QB,CHI,5932,24.8,No,QB3,7705,,0
Jaylen Waddle,WR21,WR,DEN,5871,27.8,No,WR22,5181,,0
Harold Fannin,TE6,TE,CLE,5850.04,22.1,No,TE6,5223.04,,0
Jayden Daniels,QB5,QB,WAS,5838,25.7,No,QB6,7095,,0
Quinshon Judkins,RB15,RB,CLE,5822,22.9,No,RB15,5174,,0
Rome Odunze,WR22,WR,CHI,5818,24.3,No,WR21,5186,,0
2028 Early 1st,,PI,,5817,,,,5246,,0
Joe Burrow,QB6,QB,CIN,5815,29.7,No,QB5,7300,,0
Tee Higgins,WR23,WR,CIN,5813,27.6,No,WR23,5141,,0
2026 Pick 1.04,,PI,,5800,,,,5196,,0
Kyren Williams,RB16,RB,LAR,5742,26.0,No,RB16,4943,,0
Javonte Williams,RB17,RB,DAL,5626,26.4,No,RB17,4927,,0
Rashee Rice,WR24,WR,KCC,5610,26.4,No,WR25,4901,,0
Sam LaPorta,TE7,TE,DET,5595.17,25.6,No,TE7,4984.67,,0
2026 Pick 1.05,,PI,,5587,,,,4999,,0
Kyle Pitts,TE8,TE,ATL,5570.92,25.9,No,TE8,4830.62,,0
Jameson Williams,WR25,WR,DET,5562,25.4,No,WR24,4906,,0
2027 Late 1st,,PI,,5551,,,,4976,,0
TreVeyon Henderson,RB18,RB,NEP,5496,23.9,No,RB18,4840,,0
Justin Herbert,QB7,QB,LAC,5425,28.5,No,QB7,6959,,0
Jordyn Tyson,WR26,WR,NOS,5417,22.1,Yes,WR27,4720,,0
Marvin Harrison Jr.,WR27,WR,ARI,5376,24.1,No,WR26,4735,,0
2026 Pick 1.06,,PI,,5373,,,,4797,,0
Parker Washington,WR28,WR,JAC,5351,24.5,No,WR28,4638,,0
Jalen Hurts,QB8,QB,PHI,5318,28.1,No,QB10,6019,,0
Cam Skattebo,RB19,RB,NYG,5302,24.6,No,RB21,4543,,0
Bucky Irving,RB20,RB,TBB,5296,24.0,No,RB19,4643,,0
Makai Lemon,WR29,WR,PHI,5270,22.3,Yes,WR29,4592,,0
2026 Mid 1st,,PI,,5267,,,,4700,,0
KC Concepcion,WR30,WR,CLE,5264,22.0,Yes,WR30,4577,,0
Travis Etienne,RB21,RB,NOS,5257,27.6,No,RB20,4547,,0
Bhayshul Tuten,RB22,RB,JAC,5254,23.6,No,RB22,4446,,0
2026 Pick 1.07,,PI,,5210,,,,4621,,0
Jaxson Dart,QB9,QB,NYG,5157,23.3,No,QB12,5796.99,,0
Derrick Henry,RB23,RB,BAL,5146,32.7,No,RB23,4387,,0
2028 Mid 1st,,PI,,5141,,,,4616,,0
Brian Thomas Jr.,WR31,WR,JAC,5104,23.9,No,WR31,4419,,0
D'Andre Swift,RB24,RB,CHI,5090,27.6,No,RB24,4098,,0
2026 Pick 1.08,,PI,,5089,,,,4468,,0
Trevor Lawrence,QB10,QB,JAC,5041,26.9,No,QB8,6350,,0
Patrick Mahomes,QB11,QB,KCC,4983,31.0,No,QB11,5874,,0
Bo Nix,QB12,QB,DEN,4970,26.5,No,QB9,6023,,0
2026 Pick 1.09,,PI,,4965,,,,4328,,0
Christian Watson,WR32,WR,GBP,4921,27.3,No,WR32,4137,,0
Kenyon Sadiq,TE9,TE,NYJ,4914.67,21.5,Yes,TE9,4026.97,,0
2026 Pick 1.10,,PI,,4840,,,,4166,,0
D.J. Moore,WR33,WR,BUF,4761,29.4,No,WR34,3969,,0
De'Zhaun Stribling,WR34,WR,SFO,4758,23.7,Yes,WR33,4052,,0
2026 Late 1st,,PI,,4751,,,,4084,,0
2026 Pick 1.11,,PI,,4731,,,,4026,,0
Isaiah Likely,TE10,TE,NYG,4723.13,26.4,No,TE10,3869.53,,0
2028 Late 1st,,PI,,4708,,,,4168,,0
Jonathon Brooks,RB25,RB,CAR,4641,23.1,No,RB25,3689,,0
Michael Wilson,WR35,WR,ARI,4635,26.5,No,WR35,3909,,0
Brock Purdy,QB13,QB,SFO,4621,26.7,No,QB13,5559,,0
George Kittle,TE11,TE,SFO,4620.58,32.9,No,TE11,3758.18,,0
2026 Pick 1.12,,PI,,4600,,,,3873,,0
Alec Pierce,WR36,WR,IND,4598,26.4,No,WR36,3779,,0
Matthew Golden,WR37,WR,GBP,4591,23.1,No,WR37,3697,,0
2027 Early 2nd,,PI,,4582,,,,3768,,0
Dak Prescott,QB14,QB,DAL,4574,33.1,No,QB16,5150,,0
Jordan Addison,WR38,WR,MIN,4566,24.6,No,WR38,3687,,0
Dalton Kincaid,TE12,TE,BUF,4545.63,26.9,No,TE12,3700.83,,0
David Montgomery,RB26,RB,HOU,4512,29.2,No,RB26,3566,,0
Fernando Mendoza,QB15,QB,LVR,4503,22.9,Yes,QB15,5215,,0
Quentin Johnston,WR39,WR,LAC,4496,25.0,No,WR39,3617,,0
Blake Corum,RB27,RB,LAR,4495.99,25.8,No,RB27,3565,,0
Denzel Boston,WR40,WR,CLE,4489,22.8,Yes,WR40,3547,,0
Jordan Love,QB16,QB,GBP,4410,27.8,No,QB14,5371,,0
Josh Downs,WR41,WR,IND,4395,25.1,No,WR42,3471,,0
Davante Adams,WR42,WR,LAR,4363,33.7,No,WR41,3470.99,,0
Terry McLaurin,WR43,WR,WAS,4254,31.0,No,WR43,3359,,0
Jake Ferguson,TE13,TE,DAL,4240.23,27.6,No,TE14,3433.93,,0
Terrance Ferguson,TE14,TE,LAR,4215.89,23.5,No,TE13,3456.89,,0
Jayden Reed,WR44,WR,GBP,4203,26.4,No,WR44,3332,,0
2027 Mid 2nd,,PI,,4197,,,,3390,,0
Jonah Coleman,RB28,RB,DEN,4192,23.0,Yes,RB32,3317,,0
Wan'Dale Robinson,WR45,WR,TEN,4189,25.7,No,WR46,3319,,0
Rhamondre Stevenson,RB29,RB,NEP,4186,28.5,No,RB29,3352,,0
Kyle Monangai,RB30,RB,CHI,4173,24.2,No,RB30,3326,,0
Jaylen Warren,RB31,RB,PIT,4167,27.8,No,RB28,3358.99,,0
2026 Pick 2.01,,PI,,4153,,,,3443,,0
DK Metcalf,WR46,WR,PIT,4152.99,28.7,No,WR45,3318.99,,0
Tyler Shough,QB17,QB,NOS,4140,26.9,No,QB17,4750,,0
RJ Harvey,RB32,RB,DEN,4112,25.6,No,RB31,3318,,0
Jalen Coker,WR47,WR,CAR,4111.99,24.8,No,WR47,3296,,0
2026 Pick 2.02,,PI,,4085,,,,3393,,0
Brenton Strange,TE15,TE,JAC,4082.54,25.7,No,TE15,3390.64,,0
2026 Early 2nd,,PI,,4078,,,,3330,,0
Michael Pittman,WR48,WR,PIT,4069,28.9,No,WR50,3241,,0
Oronde Gadsden,TE16,TE,LAC,4068.76,23.2,No,TE16,3382.36,,0
Eli Stowers,TE17,TE,PHI,4054.94,23.4,Yes,TE17,3313.54,,0
Omar Cooper Jr.,WR49,WR,NYJ,4050,22.7,Yes,WR49,3261,,0
Cam Ward,QB18,QB,TEN,4029,24.3,No,QB20,4461,,0
2026 Pick 2.03,,PI,,4018,,,,3342,,0
Ja'Kobi Lane,WR50,WR,BAL,4014,22.1,Yes,WR48,3281,,0
MarShawn Lloyd,RB33,RB,GBP,4009,25.7,No,RB33,3252,,0
Jared Goff,QB19,QB,DET,4000,31.9,No,QB18,4636,,0
Baker Mayfield,QB20,QB,TBB,3997,31.4,No,QB19,4551,,0
Zach Charbonnet,RB34,RB,SEA,3988,25.7,No,RB36,3211,,0
Mike Washington Jr.,RB35,RB,LVR,3955,23.2,Yes,RB34,3216,,0
2026 Pick 2.04,,PI,,3953,,,,3283,,0
Jacory Croskey-Merritt,RB36,RB,WAS,3952.99,25.4,No,RB35,3214,,0
2028 Early 2nd,,PI,,3931,,,,3272,,0
Chris Bell,WR51,WR,MIA,3905,22.2,Yes,WR54,3090,,0
2026 Pick 2.05,,PI,,3888,,,,3235,,0
Rico Dowdle,RB37,RB,PIT,3884,28.2,No,RB37,3158,,0
Chris Godwin,WR52,WR,TBB,3865,30.5,No,WR53,3107,,0
2027 Late 2nd,,PI,,3834,,,,3218,,0
2026 Pick 2.06,,PI,,3823,,,,3182,,0
Romeo Doubs,WR53,WR,NEP,3817,26.4,No,WR52,3121,,0
Matthew Stafford,QB21,QB,LAR,3813,38.6,No,QB24,3791,,0
C.J. Stroud,QB22,QB,HOU,3812,24.9,No,QB21,4423,,0
Mike Evans,WR54,WR,SFO,3811,33.0,No,WR51,3142,,0
Xavier Worthy,WR55,WR,KCC,3810.99,23.4,No,WR58,3015,,0
Courtland Sutton,WR56,WR,DEN,3807,30.9,No,WR56,3036,,0
Jayden Higgins,WR57,WR,HOU,3798,23.7,No,WR55,3051,,0
Jordan Mason,RB38,RB,MIN,3783,27.3,No,RB38,3045,,0
2026 Mid 2nd,,PI,,3778,,,,3167,,0
2026 Pick 2.07,,PI,,3767,,,,3119,,0
Chuba Hubbard,RB39,RB,CAR,3736,27.2,No,RB39,2988,,0
2028 Mid 2nd,,PI,,3730,,,,3017,,0
Malachi Fields,WR58,WR,NYG,3726,23.0,Yes,WR57,3028,,0
2026 Pick 2.08,,PI,,3724,,,,3066,,0
Kyler Murray,QB23,QB,MIN,3718,29.1,No,QB23,3835,,0
Sam Darnold,QB24,QB,SEA,3714,29.3,No,QB22,4244,,0
J.K. Dobbins,RB40,RB,DEN,3683,27.7,No,RB40,2974,,0
Dallas Goedert,TE18,TE,PHI,3682.49,31.7,No,TE19,3057.69,,0
Woody Marks,RB41,RB,HOU,3681,25.7,No,RB42,2921,,0
2026 Pick 2.09,,PI,,3680,,,,3013,,0
AJ Barner,TE19,TE,SEA,3673.12,24.4,No,TE20,3051.62,,0
Chigoziem Okonkwo,TE20,TE,WAS,3631.75,27.0,No,TE21,3032.25,,0
2026 Pick 2.10,,PI,,3630,,,,2951,,0
2026 Late 2nd,,PI,,3626,,,,2922,,0
Kenneth Gainwell,RB42,RB,TBB,3624,27.5,No,RB41,2943,,0
Mark Andrews,TE21,TE,BAL,3616.82,31.0,No,TE18,3069.02,,0
Germie Bernard,WR59,WR,PIT,3588,22.8,Yes,WR60,2891,,0
Antonio Williams,WR60,WR,WAS,3587.99,22.2,Yes,WR61,2872,,0
2026 Pick 2.11,,PI,,3581,,,,2893,,0
Josh Jacobs,RB43,RB,GBP,3564,28.6,No,RB44,2800,,0
Malik Willis,QB25,QB,MIA,3558,27.3,No,QB27,3702,,0
Travis Kelce,TE22,TE,KCC,3552.35,36.9,No,TE23,2978.15,,0
Jakobi Meyers,WR61,WR,JAC,3544,29.8,No,WR62,2811,,0
2026 Pick 2.12,,PI,,3537,,,,2846,,0
Tyler Allgeier,RB44,RB,ARI,3533,26.4,No,RB43,2805,,0
Juwan Johnson,TE23,TE,NOS,3518.77,30.0,No,TE22,3017.17,,0
Nicholas Singleton,RB45,RB,TEN,3506,22.7,Yes,RB47,2735,,0
