"Last updated: September 09, 2026 11:00 AM UTC"
Updated 09/09/26 at 11:00am,Position Rank,Position,Team,Value,Age,Rookie,1QBPosition Rank,1QBValue,RdrftPosition Rank,RdrftValue
Jahmyr Gibbs,RB1,RB,DET,9999,24.5,No,RB2,9999,,0
Josh Allen,QB1,QB,BUF,9998,30.3,No,QB1,7479,,0
Bijan Robinson,RB2,RB,ATL,9978,24.6,No,RB1,9998.99,,0
Ja'Marr Chase,WR1,WR,CIN,9960,26.5,No,WR1,9972,,0
Brock Bowers,TE1,TE,LVR,9149.58,23.7,No,TE1,9223.28,,0
Jaxon Smith-Njigba,WR2,WR,SEA,9086,24.6,No,WR2,9145,,0
Drake Maye,QB2,QB,NEP,8742,24.0,No,QB2,6330,,0
Puka Nacua,WR3,WR,LAR,8459,25.3,No,WR3,8488,,0
Amon-Ra St. Brown,WR4,WR,DET,8191,26.9,No,WR4,8260,,0
Trey McBride,TE2,TE,ARI,7969.08,26.8,No,TE2,8192.38,,0
Caleb Williams,QB3,QB,CHI,7697,24.8,No,QB4,5936,,0
Lamar Jackson,QB4,QB,BAL,7515,29.7,No,QB3,6145,,0
Justin Jefferson,WR5,WR,MIN,7396,27.2,No,WR6,7464,,0
Malik Nabers,WR6,WR,NYG,7246,23.1,No,WR5,7477,,0
Joe Burrow,QB5,QB,CIN,7236,29.8,No,QB5,5819,,0
Ashton Jeanty,RB3,RB,LVR,7207,22.8,No,RB5,7406,,0
2026 Pick 1.01,,PI,,7183,,,,7904,,0
Jeremiyah Love,RB4,RB,ARI,7177,21.3,Yes,RB3,7481,,0
CeeDee Lamb,WR7,WR,DAL,7174,27.4,No,WR7,7346,,0
Jayden Daniels,QB6,QB,WAS,7119,25.7,No,QB6,5818,,0
Omarion Hampton,RB5,RB,LAC,7072,23.5,No,RB4,7418,,0
Colston Loveland,TE3,TE,CHI,7057.98,22.4,No,TE3,7346.18,,0
De'Von Achane,RB6,RB,MIA,6968,24.9,No,RB6,7260,,0
